number,value,datetime_start,datetime_complete,duration,params_et_max_depth,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_lr_C,params_model,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,state
0,0.39867109634551495,2026-05-11 09:47:51.362548,2026-05-11 09:47:52.117131,0 days 00:00:00.754583,14.0,8.0,12.0,241.0,,extra_trees,,,,,COMPLETE
1,0.42857142857142855,2026-05-11 09:47:52.117445,2026-05-11 09:47:52.931651,0 days 00:00:00.814206,,,,,,random_forest,18.0,7.0,11.0,222.0,COMPLETE
2,0.36619718309859156,2026-05-11 09:47:52.931939,2026-05-11 09:47:53.552312,0 days 00:00:00.620373,7.0,8.0,2.0,205.0,,extra_trees,,,,,COMPLETE
3,0.39662447257383965,2026-05-11 09:47:53.552605,2026-05-11 09:47:54.025998,0 days 00:00:00.473393,,,,,,random_forest,10.0,8.0,6.0,128.0,COMPLETE
4,0.3951612903225806,2026-05-11 09:47:54.026292,2026-05-11 09:47:54.806984,0 days 00:00:00.780692,,,,,,random_forest,8.0,7.0,9.0,212.0,COMPLETE
5,0.33972602739726027,2026-05-11 09:47:54.807262,2026-05-11 09:47:54.844187,0 days 00:00:00.036925,,,,,0.3132296258889196,logistic_regression,,,,,COMPLETE
6,0.42105263157894735,2026-05-11 09:47:54.844555,2026-05-11 09:47:55.648202,0 days 00:00:00.803647,,,,,,random_forest,18.0,7.0,5.0,226.0,COMPLETE
7,0.3415977961432507,2026-05-11 09:47:55.648538,2026-05-11 09:47:55.686826,0 days 00:00:00.038288,,,,,2.141439409592559,logistic_regression,,,,,COMPLETE
8,0.33972602739726027,2026-05-11 09:47:55.687076,2026-05-11 09:47:55.730321,0 days 00:00:00.043245,,,,,1.1671678126120972,logistic_regression,,,,,COMPLETE
9,0.3415977961432507,2026-05-11 09:47:55.730659,2026-05-11 09:47:55.775165,0 days 00:00:00.044506,,,,,0.49281224096216475,logistic_regression,,,,,COMPLETE
10,0.3924050632911392,2026-05-11 09:47:55.775478,2026-05-11 09:47:56.689428,0 days 00:00:00.913950,,,,,,random_forest,18.0,1.0,12.0,247.0,COMPLETE
11,0.44324324324324327,2026-05-11 09:47:56.689682,2026-05-11 09:47:57.426876,0 days 00:00:00.737194,,,,,,random_forest,18.0,5.0,2.0,198.0,COMPLETE
12,0.4419889502762431,2026-05-11 09:47:57.427129,2026-05-11 09:47:58.085425,0 days 00:00:00.658296,,,,,,random_forest,15.0,4.0,2.0,182.0,COMPLETE
13,0.41935483870967744,2026-05-11 09:47:58.085707,2026-05-11 09:47:58.714435,0 days 00:00:00.628728,,,,,,random_forest,14.0,4.0,2.0,167.0,COMPLETE
14,0.43157894736842106,2026-05-11 09:47:58.714705,2026-05-11 09:47:59.351320,0 days 00:00:00.636615,,,,,,random_forest,14.0,4.0,2.0,174.0,COMPLETE
15,0.36923076923076925,2026-05-11 09:47:59.351584,2026-05-11 09:47:59.734695,0 days 00:00:00.383111,,,,,,random_forest,4.0,2.0,4.0,86.0,COMPLETE
16,0.4444444444444444,2026-05-11 09:47:59.734996,2026-05-11 09:48:00.054405,0 days 00:00:00.319409,17.0,1.0,7.0,94.0,,extra_trees,,,,,COMPLETE
17,0.3961352657004831,2026-05-11 09:48:00.054660,2026-05-11 09:48:00.323059,0 days 00:00:00.268399,18.0,1.0,7.0,80.0,,extra_trees,,,,,COMPLETE
18,0.44019138755980863,2026-05-11 09:48:00.323325,2026-05-11 09:48:00.646311,0 days 00:00:00.322986,17.0,1.0,7.0,98.0,,extra_trees,,,,,COMPLETE
19,0.4041095890410959,2026-05-11 09:48:00.646572,2026-05-11 09:48:01.076987,0 days 00:00:00.430415,10.0,4.0,3.0,137.0,,extra_trees,,,,,COMPLETE
